
This is storm data analysis for Atlantic
     Storm_ID            name            distance     storm propagation  max propagation     storm energy    max surface area 
     AL031889          UNNAMED          2741693.2          72149.82          47719.65           244.5               0         
     AL041889          UNNAMED          4162227.68         88558.04          27704.35           287.38              0         
     AL051889          UNNAMED          5828013.25        149436.24          47548.15           240.69              0         
     AL061889          UNNAMED          8039553.16        133992.55          78432.18           369.36              0         
     AL071889          UNNAMED          4293357.95        143111.93          78432.18           182.34              0         
     AL081889          UNNAMED          4384700.71        156596.45          37891.36           171.24              0         
     AL091889          UNNAMED          5414635.7         208255.22          78420.09           161.86              0         
     AL011890          UNNAMED          554737.45          61637.49          46840.41           65.26               0         
     AL021890          UNNAMED          4385628.47        109640.71          46863.45           240.6               0         
     AL031890          UNNAMED          7149571.62        223424.11          67388.88           183.25              0         
     AL041890          UNNAMED          567639.41         113527.88          28661.23            21.5               0         
     AL011891          UNNAMED          1901405.83         90543.13          25498.35           128.9               0         
     AL021891          UNNAMED          5915203.22        118304.06          29911.23           304.04              0         
     AL031891          UNNAMED          3240690.21        108023.01          33942.63           166.77              0         
     AL041891          UNNAMED          5841458.0         177013.88          77065.18           200.75              0         
     AL051891          UNNAMED          4840240.66        112563.74          35889.46           266.28              0         
     AL061891          UNNAMED          6265439.32        164879.98          68988.25           237.03              0         
     AL071891          UNNAMED          3394392.52        141433.02          51091.93           147.25              0         
     AL081891          UNNAMED          4927588.6         144929.08          79404.93           210.42              0         
     AL091891          UNNAMED          4314958.12        130756.31          79404.93           202.97              0         
     AL101891          UNNAMED          3124553.88        260379.49          73641.54           74.34               0         
     AL011892          UNNAMED          2490301.94         77821.94          73641.54           194.71              0         
     AL021892          UNNAMED          6858400.28        175856.42          72990.57           239.57              0         
     AL031892          UNNAMED          7985033.66        140088.31          44645.36           346.57              0         
     AL041892          UNNAMED          5596627.48        155461.87          52762.29           220.67              0         
     AL051892          UNNAMED          5068418.63        107838.69          34390.74           283.69              0         
     AL061892          UNNAMED          822405.62          82240.56          23049.81           62.93               0         
     AL071892          UNNAMED          4723741.64        107357.76          25885.42           278.67              0         
     AL081892          UNNAMED          3474612.29        119814.22          30374.26           179.94              0         
     AL091892          UNNAMED          3271044.49         96207.19          30471.62           209.45              0         
